id,level,group
28AYQLYnkgBi5uKXN,High,2
2bcTjnfNuKp5hJcyK,Low,1
53TwXKQe62kT2tnRp,High,2
Aw4gxBApCsdMueCwk,High,2
BMjGCT4wEQuYNyTiS,High,1
C23vEwAz5F76NjERx,High,2
Gv7QyY2nyFbAQadHu,Medium,1
NEJpZWwLZ4dzzvYh7,Medium,1
PqdvC3XWpMyWFqire,Low,2
PrjgtRBCGbqJoZ3HN,Low,1
QpTfa3muPPMBFR9Pp,High,2
Sp3JZtnPt2G6W7a32,Medium,1
Ystaypp7AmJ4wYvsM,High,1
YvCdYm3zReNZzrtNs,Low,2
bFNGRyeEysDF8YCYG,High,1
hjfHvYz88HrEAiHw7,Low,1
iCcqC5LHLXf5Ja3jK,Medium,2
k2oxfxXXwQszGYgbX,High,1
o5DALaM8AFwY6H4tE,Low,1
xGGhgoi8Lr67HZvga,Low,2
znza2WvWyiBTfdzab,Low,2
zziBcRA4iFysNPizw,High,2
