,score,group
28AYQLYnkgBi5uKXN,1.0,VIDEO
53TwXKQe62kT2tnRp,0.5625,VIDEO
Aw4gxBApCsdMueCwk,0.25,VIDEO
C23vEwAz5F76NjERx,0.875,VIDEO
PqdvC3XWpMyWFqire,0.125,VIDEO
QpTfa3muPPMBFR9Pp,0.875,VIDEO
YvCdYm3zReNZzrtNs,0.875,VIDEO
iCcqC5LHLXf5Ja3jK,0.25,VIDEO
xGGhgoi8Lr67HZvga,0.25,VIDEO
znza2WvWyiBTfdzab,1.0,VIDEO
zziBcRA4iFysNPizw,0.5625,VIDEO
2bcTjnfNuKp5hJcyK,0.0,VIDEO
BMjGCT4wEQuYNyTiS,0.2222222222222222,VIDEO
Gv7QyY2nyFbAQadHu,0.0,VIDEO
NEJpZWwLZ4dzzvYh7,0.4444444444444444,VIDEO
PrjgtRBCGbqJoZ3HN,0.5277777777777778,VIDEO
Sp3JZtnPt2G6W7a32,0.8888888888888888,VIDEO
Ystaypp7AmJ4wYvsM,0.5,VIDEO
bFNGRyeEysDF8YCYG,0.6666666666666666,VIDEO
hjfHvYz88HrEAiHw7,0.5277777777777778,VIDEO
k2oxfxXXwQszGYgbX,0.7222222222222222,VIDEO
o5DALaM8AFwY6H4tE,0.3611111111111111,VIDEO
2bcTjnfNuKp5hJcyK,0.625,SELF DISCOVERY
BMjGCT4wEQuYNyTiS,0.4375,SELF DISCOVERY
Gv7QyY2nyFbAQadHu,0.6875,SELF DISCOVERY
NEJpZWwLZ4dzzvYh7,0.46875,SELF DISCOVERY
PrjgtRBCGbqJoZ3HN,0.875,SELF DISCOVERY
Sp3JZtnPt2G6W7a32,0.875,SELF DISCOVERY
Ystaypp7AmJ4wYvsM,0.5,SELF DISCOVERY
bFNGRyeEysDF8YCYG,0.1875,SELF DISCOVERY
hjfHvYz88HrEAiHw7,0.75,SELF DISCOVERY
k2oxfxXXwQszGYgbX,1.0,SELF DISCOVERY
o5DALaM8AFwY6H4tE,1.0,SELF DISCOVERY
28AYQLYnkgBi5uKXN,0.6111111111111112,SELF DISCOVERY
53TwXKQe62kT2tnRp,0.08333333333333333,SELF DISCOVERY
Aw4gxBApCsdMueCwk,0.08333333333333333,SELF DISCOVERY
C23vEwAz5F76NjERx,0.8888888888888888,SELF DISCOVERY
PqdvC3XWpMyWFqire,0.2777777777777778,SELF DISCOVERY
QpTfa3muPPMBFR9Pp,0.8888888888888888,SELF DISCOVERY
YvCdYm3zReNZzrtNs,0.8888888888888888,SELF DISCOVERY
iCcqC5LHLXf5Ja3jK,0.08333333333333333,SELF DISCOVERY
xGGhgoi8Lr67HZvga,0.1111111111111111,SELF DISCOVERY
znza2WvWyiBTfdzab,0.8888888888888888,SELF DISCOVERY
zziBcRA4iFysNPizw,0.6944444444444444,SELF DISCOVERY
